gte_ssl_score,Black Men 20-29,Black Women 20-29,Hispanic Men 20-29,Hispanic Women 20-29,White Men 20-29,White Women 20-29
1,33836,11638,15576,3201,5192,1777
2,33836,11638,15576,3201,5192,1777
3,33836,11638,15576,3201,5192,1777
4,33836,11638,15576,3201,5192,1777
5,33836,11638,15576,3201,5192,1777
6,33836,11638,15576,3201,5192,1777
7,33836,11638,15576,3201,5192,1777
8,33836,11638,15576,3201,5192,1777
9,33836,11638,15576,3201,5192,1777
10,33836,11638,15576,3201,5192,1777
11,33836,11638,15576,3201,5192,1777
12,33836,11638,15576,3201,5192,1777
13,33836,11638,15576,3201,5192,1777
14,33836,11638,15576,3201,5192,1777
15,33836,11638,15576,3201,5192,1777
16,33836,11638,15576,3201,5192,1777
17,33836,11638,15576,3201,5192,1777
18,33836,11638,15576,3201,5192,1777
19,33836,11638,15576,3201,5192,1777
20,33836,11638,15576,3201,5192,1777
21,33836,11638,15576,3201,5192,1777
22,33836,11638,15576,3201,5192,1777
23,33836,11638,15576,3201,5192,1777
24,33836,11638,15576,3201,5192,1777
25,33836,11638,15576,3201,5192,1777
26,33836,11638,15576,3201,5192,1777
27,33836,11638,15576,3201,5192,1777
28,33836,11638,15576,3201,5192,1777
29,33836,11638,15576,3201,5192,1777
30,33836,11638,15576,3201,5192,1777
31,33836,11638,15576,3201,5192,1777
32,33836,11638,15576,3201,5192,1777
33,33836,11638,15576,3201,5192,1777
34,33836,11638,15576,3201,5192,1777
35,33836,11638,15576,3201,5192,1777
36,33836,11638,15576,3201,5192,1777
37,33836,11638,15576,3201,5192,1777
38,33836,11638,15576,3201,5192,1777
39,33836,11638,15576,3201,5192,1777
40,33836,11638,15576,3201,5192,1777
41,33836,11638,15576,3201,5192,1777
42,33836,11638,15576,3201,5192,1777
43,33836,11638,15576,3201,5192,1777
44,33836,11638,15576,3201,5192,1777
45,33836,11638,15576,3201,5192,1777
46,33836,11638,15576,3201,5192,1777
47,33836,11638,15576,3201,5192,1777
48,33836,11638,15576,3201,5192,1777
49,33836,11638,15576,3201,5192,1777
50,33836,11638,15576,3201,5192,1777
51,33836,11638,15576,3201,5192,1777
52,33836,11638,15576,3201,5192,1777
53,33836,11638,15576,3201,5192,1777
54,33836,11638,15576,3201,5192,1777
55,33836,11638,15576,3201,5192,1777
56,33836,11638,15576,3201,5192,1777
57,33836,11638,15576,3201,5192,1777
58,33836,11638,15576,3201,5192,1777
59,33836,11638,15576,3201,5192,1777
60,33836,11638,15576,3201,5192,1777
61,33836,11638,15576,3201,5192,1777
62,33836,11638,15576,3201,5192,1777
63,33836,11638,15576,3201,5192,1777
64,33836,11638,15576,3201,5192,1777
65,33836,11638,15576,3201,5192,1777
66,33836,11638,15576,3201,5192,1777
67,33836,11638,15576,3201,5192,1777
68,33836,11638,15576,3201,5192,1777
69,33836,11638,15576,3201,5192,1777
70,33836,11638,15576,3201,5192,1777
71,33836,11638,15576,3201,5192,1777
72,33836,11638,15576,3201,5192,1777
73,33836,11638,15576,3201,5192,1777
74,33836,11638,15576,3201,5192,1777
75,33836,11638,15576,3201,5192,1777
76,33836,11638,15576,3201,5192,1777
77,33836,11638,15576,3201,5192,1777
78,33836,11638,15576,3201,5192,1777
79,33836,11638,15576,3201,5192,1777
80,33836,11638,15576,3201,5192,1777
81,33836,11638,15576,3201,5192,1777
82,33836,11638,15576,3201,5192,1777
83,33836,11638,15576,3201,5192,1777
84,33836,11638,15576,3201,5192,1777
85,33836,11638,15576,3201,5192,1777
86,33836,11638,15576,3201,5192,1777
87,33836,11638,15576,3201,5192,1777
88,33836,11638,15576,3201,5192,1777
89,33836,11638,15576,3201,5192,1777
90,33836,11638,15576,3201,5192,1777
91,33836,11638,15576,3201,5192,1777
92,33836,11638,15576,3201,5192,1777
93,33836,11638,15576,3201,5192,1777
94,33836,11638,15576,3201,5192,1777
95,33836,11638,15576,3201,5192,1777
96,33836,11638,15576,3201,5192,1777
97,33836,11638,15576,3201,5192,1777
98,33836,11638,15576,3201,5192,1777
99,33836,11638,15576,3201,5192,1777
100,33836,11638,15576,3201,5192,1777
101,33836,11638,15576,3201,5192,1777
102,33836,11638,15576,3201,5192,1777
103,33836,11638,15576,3201,5192,1777
104,33836,11638,15576,3201,5192,1777
105,33836,11638,15576,3201,5192,1777
106,33836,11638,15576,3201,5192,1777
107,33836,11638,15576,3201,5192,1777
108,33836,11638,15576,3201,5192,1777
109,33836,11638,15576,3201,5192,1777
110,33836,11638,15576,3201,5192,1777
111,33836,11638,15576,3201,5192,1777
112,33836,11638,15576,3201,5192,1777
113,33836,11638,15576,3201,5192,1777
114,33836,11638,15576,3201,5192,1777
115,33836,11638,15576,3201,5192,1777
116,33836,11638,15576,3201,5192,1777
117,33836,11638,15576,3201,5192,1777
118,33836,11638,15576,3201,5192,1777
119,33836,11638,15576,3201,5192,1777
120,33836,11638,15576,3201,5192,1777
121,33836,11638,15576,3201,5192,1777
122,33836,11638,15576,3201,5192,1777
123,33836,11638,15576,3201,5192,1777
124,33836,11638,15576,3201,5192,1777
125,33836,11638,15576,3201,5192,1777
126,33836,11638,15576,3201,5192,1777
127,33836,11638,15576,3201,5192,1777
128,33836,11638,15576,3201,5192,1777
129,33836,11638,15576,3201,5192,1777
130,33836,11638,15576,3201,5192,1777
131,33836,11638,15576,3201,5192,1777
132,33836,11638,15576,3201,5192,1777
133,33836,11638,15576,3201,5192,1777
134,33836,11638,15576,3201,5192,1777
135,33836,11638,15576,3201,5192,1777
136,33836,11638,15576,3201,5192,1777
137,33836,11638,15576,3201,5192,1777
138,33836,11638,15576,3201,5192,1777
139,33836,11638,15576,3201,5192,1777
140,33836,11638,15576,3201,5192,1777
141,33836,11638,15576,3201,5192,1777
142,33836,11638,15576,3201,5192,1777
143,33836,11638,15576,3201,5192,1777
144,33836,11638,15576,3201,5192,1777
145,33835,11638,15576,3201,5192,1777
146,33835,11638,15576,3201,5192,1777
147,33835,11638,15576,3201,5192,1777
148,33835,11638,15576,3201,5192,1777
149,33835,11638,15576,3201,5192,1777
150,33835,11638,15576,3201,5192,1777
151,33835,11638,15576,3201,5192,1777
152,33835,11638,15576,3201,5192,1777
153,33835,11638,15576,3201,5192,1777
154,33835,11638,15576,3201,5192,1777
155,33835,11638,15576,3201,5192,1777
156,33835,11638,15576,3201,5192,1777
157,33835,11638,15576,3201,5192,1777
158,33835,11638,15576,3201,5192,1777
159,33835,11638,15576,3201,5192,1777
160,33835,11638,15576,3201,5192,1777
161,33835,11638,15576,3201,5192,1777
162,33835,11638,15576,3201,5192,1777
163,33835,11638,15576,3201,5192,1777
164,33835,11638,15576,3201,5192,1777
165,33835,11638,15576,3201,5192,1777
166,33835,11638,15576,3201,5192,1777
167,33835,11638,15576,3201,5192,1777
168,33835,11638,15576,3201,5192,1777
169,33835,11638,15576,3201,5192,1777
170,33834,11638,15576,3201,5192,1777
171,33834,11638,15576,3201,5192,1777
172,33834,11638,15576,3201,5192,1777
173,33834,11638,15576,3201,5192,1777
174,33834,11638,15576,3201,5192,1777
175,33834,11638,15576,3201,5192,1777
176,33834,11638,15576,3201,5192,1777
177,33834,11638,15576,3201,5192,1777
178,33834,11638,15576,3201,5192,1777
179,33834,11638,15576,3201,5192,1777
180,33834,11638,15576,3201,5192,1777
181,33834,11638,15576,3201,5192,1777
182,33834,11638,15576,3201,5192,1777
183,33834,11638,15576,3201,5192,1777
184,33834,11638,15576,3201,5192,1777
185,33834,11638,15576,3201,5192,1777
186,33834,11638,15576,3201,5192,1777
187,33834,11638,15576,3201,5192,1777
188,33834,11638,15576,3201,5192,1777
189,33834,11638,15576,3201,5192,1777
190,33834,11638,15576,3201,5192,1777
191,33834,11638,15576,3201,5192,1777
192,33834,11638,15576,3201,5192,1777
193,33834,11638,15576,3201,5192,1777
194,33834,11638,15576,3201,5192,1777
195,33834,11638,15576,3201,5192,1777
196,33834,11638,15576,3201,5192,1777
197,33833,11638,15576,3201,5192,1777
198,33832,11638,15576,3201,5192,1777
199,33832,11638,15576,3201,5192,1777
200,33831,11638,15576,3201,5192,1777
201,33831,11638,15576,3201,5192,1777
202,33831,11638,15576,3201,5192,1777
203,33831,11638,15576,3201,5192,1777
204,33830,11638,15576,3201,5192,1777
205,33830,11638,15576,3201,5192,1777
206,33830,11638,15576,3201,5192,1777
207,33830,11638,15576,3201,5192,1777
208,33830,11638,15576,3201,5192,1777
209,33830,11637,15576,3201,5192,1777
210,33830,11637,15576,3201,5192,1777
211,33830,11637,15576,3201,5192,1777
212,33829,11637,15576,3201,5192,1777
213,33829,11637,15576,3201,5192,1777
214,33827,11637,15576,3201,5192,1777
215,33827,11637,15576,3201,5192,1777
216,33827,11637,15575,3201,5192,1777
217,33827,11637,15575,3201,5192,1777
218,33827,11637,15575,3201,5191,1777
219,33827,11637,15575,3201,5191,1777
220,33826,11637,15575,3201,5191,1777
221,33826,11637,15574,3201,5191,1777
222,33826,11636,15574,3201,5190,1777
223,33826,11636,15574,3201,5190,1777
224,33826,11636,15574,3201,5190,1777
225,33825,11636,15574,3201,5190,1777
226,33825,11636,15574,3201,5190,1777
227,33825,11636,15573,3201,5190,1777
228,33825,11636,15573,3201,5189,1777
229,33823,11635,15573,3201,5189,1777
230,33823,11635,15572,3201,5189,1777
231,33823,11635,15572,3201,5189,1777
232,33822,11635,15572,3201,5189,1777
233,33822,11635,15572,3201,5189,1777
234,33822,11635,15572,3201,5189,1777
235,33822,11635,15572,3201,5189,1777
236,33822,11635,15572,3201,5189,1777
237,33822,11635,15572,3201,5189,1777
238,33821,11635,15571,3201,5187,1777
239,33819,11634,15571,3200,5187,1777
240,33819,11634,15570,3200,5187,1777
241,33817,11634,15570,3200,5187,1777
242,33816,11634,15570,3200,5187,1777
243,33816,11633,15569,3199,5187,1777
244,33816,11633,15569,3199,5187,1777
245,33816,11633,15568,3198,5187,1777
246,33816,11633,15568,3198,5187,1777
247,33815,11633,15566,3198,5185,1777
248,33812,11633,15566,3198,5185,1777
249,33810,11633,15566,3198,5185,1777
250,33810,11631,15565,3198,5185,1777
251,33809,11631,15565,3198,5185,1777
252,33807,11631,15563,3198,5185,1777
253,33806,11631,15563,3198,5185,1777
254,33804,11630,15563,3198,5185,1777
255,33801,11626,15563,3197,5185,1777
256,33799,11622,15562,3197,5185,1777
257,33798,11622,15562,3197,5185,1777
258,33798,11622,15562,3197,5185,1777
259,33792,11621,15561,3197,5185,1777
260,33792,11621,15559,3197,5184,1776
261,33791,11619,15556,3197,5184,1776
262,33790,11619,15556,3196,5184,1776
263,33788,11617,15556,3196,5183,1776
264,33779,11616,15550,3196,5181,1776
265,33773,11614,15549,3195,5181,1775
266,33767,11614,15549,3195,5180,1775
267,33763,11612,15543,3194,5180,1775
268,33759,11610,15541,3194,5179,1775
269,33742,11603,15535,3194,5177,1775
270,33736,11602,15531,3193,5176,1774
271,33731,11601,15529,3193,5174,1774
272,33721,11597,15524,3191,5172,1772
273,33702,11589,15518,3190,5165,1769
274,33683,11584,15513,3189,5161,1765
275,33661,11580,15508,3187,5159,1765
276,33639,11568,15495,3183,5154,1764
277,33589,11546,15459,3179,5137,1760
278,33566,11541,15442,3176,5132,1758
279,33531,11536,15431,3174,5128,1756
280,33458,11509,15386,3164,5112,1747
281,33395,11480,15351,3158,5102,1742
282,33176,11371,15116,3099,5024,1717
283,33115,11360,15091,3096,5019,1716
284,32929,11305,14985,3084,4994,1706
285,32879,11297,14963,3080,4990,1705
286,32421,10985,14503,2974,4808,1654
287,32297,10951,14436,2966,4788,1650
288,32147,10911,14363,2959,4772,1641
289,31810,10763,14101,2915,4684,1623
290,31271,10451,13601,2820,4485,1565
291,31060,10405,13528,2813,4463,1557
292,30783,10318,13400,2795,4432,1536
293,30290,10054,13010,2703,4287,1480
294,29886,9887,12715,2633,4148,1442
295,29381,9651,12385,2544,4022,1401
296,29082,9562,12224,2523,3981,1387
297,28599,9412,11969,2480,3889,1344
298,27995,9082,11486,2372,3677,1261
299,27405,8844,11124,2292,3551,1220
300,27030,8730,10940,2269,3504,1204
301,26444,8543,10661,2210,3412,1175
302,25801,8178,10198,2090,3220,1102
303,25250,7905,9872,2018,3080,1040
304,24803,7778,9703,1987,3028,1025
305,24198,7541,9384,1919,2922,970
306,23513,7147,8915,1814,2710,903
307,22837,6868,8470,1730,2559,866
308,22439,6766,8298,1700,2520,845
309,22019,6686,8133,1684,2466,834
310,21231,6251,7679,1585,2280,762
311,20354,5763,7130,1422,2034,668
312,19892,5634,6976,1399,1998,656
313,19415,5536,6782,1385,1947,645
314,18529,5092,6351,1258,1789,578
315,17614,4544,5828,1102,1571,496
316,17208,4438,5654,1076,1515,480
317,16634,4283,5469,1053,1471,460
318,15869,3824,5015,918,1302,395
319,15024,3346,4552,777,1118,331
320,14550,3220,4396,742,1065,323
321,13979,3085,4215,704,1017,312
322,13170,2704,3791,580,889,258
323,12569,2438,3526,509,774,212
324,12070,2304,3340,481,724,196
325,11569,2201,3164,456,690,182
326,10992,1969,2909,401,627,158
327,10339,1714,2592,323,528,127
328,9880,1612,2461,301,485,118
329,9473,1552,2328,282,458,110
330,8946,1345,2097,230,384,76
331,8562,1237,1934,209,345,69
332,8214,1154,1834,191,323,64
333,7852,1115,1733,180,310,54
334,7547,1067,1662,169,294,52
335,7201,1008,1572,157,261,41
336,6930,969,1497,149,240,39
337,6624,945,1432,140,231,38
338,6363,903,1372,131,221,34
339,6088,839,1308,123,206,33
340,5888,806,1257,119,197,32
341,5672,774,1208,114,185,28
342,5425,734,1155,108,178,27
343,5192,681,1100,100,168,27
344,5014,661,1059,98,158,27
345,4835,642,1018,94,156,24
346,4652,603,961,91,147,23
347,4486,571,913,88,141,23
348,4323,538,879,83,133,21
349,4149,521,847,79,129,21
350,3983,490,792,72,118,21
351,3846,464,758,68,111,17
352,3705,432,719,66,104,14
353,3587,409,695,65,99,13
354,3439,372,658,61,94,13
355,3313,354,631,58,90,12
356,3180,339,595,55,87,12
357,3057,324,572,52,84,11
358,2963,298,541,43,83,9
359,2865,280,511,40,78,9
360,2761,268,494,38,76,9
361,2658,258,476,35,72,8
362,2551,236,454,27,71,7
363,2462,226,437,24,71,7
364,2372,219,421,22,70,6
365,2276,208,396,21,66,6
366,2199,195,367,20,63,5
367,2115,190,356,17,57,3
368,2038,184,335,17,54,3
369,1968,177,316,17,51,2
370,1883,175,299,16,49,2
371,1809,164,296,14,46,2
372,1743,157,273,13,43,2
373,1684,151,264,12,40,2
374,1619,140,253,11,34,2
375,1557,135,241,10,33,2
376,1497,132,231,9,32,2
377,1444,124,224,7,32,2
378,1390,117,215,6,31,2
379,1348,114,205,6,28,1
380,1305,107,201,5,28,1
381,1259,105,191,5,26,1
382,1202,99,182,4,24,1
383,1156,94,178,4,22,1
384,1119,91,168,3,20,1
385,1073,88,164,3,19,0
386,1028,80,159,3,19,0
387,991,80,156,2,18,0
388,957,75,151,2,18,0
389,920,69,146,1,18,0
390,884,64,139,1,18,0
391,846,62,130,1,18,0
392,816,61,127,1,18,0
393,784,59,124,1,17,0
394,759,57,123,1,16,0
395,737,55,117,1,15,0
396,706,52,115,1,13,0
397,682,51,112,1,12,0
398,651,47,106,1,12,0
399,634,47,103,1,11,0
400,614,46,102,1,11,0
401,589,44,97,0,11,0
402,577,41,93,0,11,0
403,549,41,85,0,10,0
404,527,40,80,0,10,0
405,505,38,77,0,10,0
406,488,37,76,0,9,0
407,473,35,71,0,9,0
408,463,35,70,0,9,0
409,446,32,68,0,8,0
410,436,32,66,0,7,0
411,421,31,61,0,6,0
412,400,29,61,0,6,0
413,384,29,57,0,6,0
414,374,29,55,0,6,0
415,364,29,54,0,6,0
416,350,29,50,0,6,0
417,337,29,49,0,6,0
418,326,26,46,0,5,0
419,316,26,43,0,5,0
420,299,24,41,0,5,0
421,287,24,39,0,5,0
422,279,23,36,0,5,0
423,264,22,33,0,5,0
424,255,21,33,0,5,0
425,245,19,32,0,5,0
426,234,17,31,0,5,0
427,216,17,30,0,5,0
428,204,17,29,0,5,0
429,194,15,27,0,4,0
430,189,13,27,0,4,0
431,180,13,26,0,4,0
432,174,11,24,0,4,0
433,164,10,23,0,4,0
434,161,10,22,0,4,0
435,159,10,22,0,4,0
436,156,10,22,0,4,0
437,150,10,20,0,4,0
438,146,9,20,0,4,0
439,145,9,19,0,4,0
440,139,9,19,0,4,0
441,133,9,18,0,4,0
442,128,9,17,0,4,0
443,123,8,15,0,4,0
444,121,8,15,0,3,0
445,112,7,13,0,3,0
446,110,7,13,0,3,0
447,107,7,12,0,3,0
448,101,7,11,0,3,0
449,99,6,10,0,3,0
450,96,6,10,0,3,0
451,92,6,9,0,3,0
452,89,6,9,0,3,0
453,88,6,9,0,3,0
454,87,6,8,0,3,0
455,87,6,8,0,3,0
456,83,6,7,0,2,0
457,74,6,6,0,2,0
458,70,6,6,0,2,0
459,68,6,5,0,2,0
460,66,6,5,0,2,0
461,63,6,5,0,2,0
462,61,6,5,0,2,0
463,59,6,5,0,2,0
464,57,6,5,0,2,0
465,57,6,5,0,2,0
466,56,6,5,0,2,0
467,56,6,5,0,2,0
468,52,6,5,0,2,0
469,49,6,5,0,2,0
470,46,6,5,0,2,0
471,43,6,5,0,2,0
472,42,5,5,0,2,0
473,41,5,5,0,2,0
474,41,4,3,0,2,0
475,37,4,3,0,2,0
476,34,4,3,0,2,0
477,34,3,3,0,2,0
478,34,3,3,0,2,0
479,34,3,3,0,2,0
480,33,3,3,0,2,0
481,32,3,3,0,2,0
482,29,3,3,0,2,0
483,26,3,3,0,2,0
484,24,3,3,0,2,0
485,24,3,3,0,2,0
486,24,3,3,0,2,0
487,22,3,3,0,2,0
488,22,3,3,0,2,0
489,21,3,3,0,2,0
490,20,3,3,0,2,0
491,19,3,3,0,2,0
492,19,3,3,0,2,0
493,19,3,2,0,2,0
494,19,3,2,0,2,0
495,19,3,2,0,2,0
496,19,3,2,0,2,0
497,19,3,2,0,2,0
498,19,3,1,0,2,0
499,18,3,1,0,2,0
500,18,3,1,0,2,0
